appid,genre
3685280,Action
3685280,Adventure
3685280,Indie
3685280,RPG
2598670,Action
2598670,Indie
1738420,Adventure
1738420,Indie
1738420,RPG
3862700,Action
3862700,Indie
3862700,Early Access
1598730,Adventure
1598730,Indie
1598730,RPG
3214530,Indie
2402820,Casual
2402820,Free To Play
2444840,Action
2444840,Adventure
2202900,Action
2202900,Adventure
2202900,Casual
2202900,Indie
2598660,Casual
2598660,Indie
1724510,Action
1724510,Adventure
1724510,Casual
1724510,Indie
1724510,RPG
1724510,Simulation
1724510,Strategy
1340180,Action
1340180,Adventure
1340180,Casual
1340180,Indie
1340180,RPG
1340180,Free To Play
2002430,Adventure
2002430,Indie
1905980,Action
1905980,Adventure
1905980,Indie
1905980,Simulation
3862690,Adventure
3862690,Casual
3862690,Sports
3600350,Action
3600350,Indie
3600350,Simulation
3600350,Sports
2402790,Casual
2402790,Indie
2444810,Adventure
2444810,RPG
2598630,Casual
2598630,Indie
2598630,RPG
2202890,Action
2202890,Adventure
2202890,Casual
2202890,RPG
1738150,Indie
1738150,Simulation
1738150,Sports
1738150,Strategy
1665210,Simulation
3862670,Action
3862670,Adventure
1788960,Casual
3385400,Action
3385400,Adventure
3385400,Casual
3385400,Indie
3385400,Simulation
2202880,Casual
2202880,Indie
2202880,Racing
2402770,Indie
2598620,Adventure
2598620,Casual
2598620,Indie
2444790,Action
2444790,Adventure
2444790,Indie
2444790,RPG
1738140,Adventure
1738140,Casual
1738140,Indie
1738140,RPG
3862660,Action
3862660,Indie
3214470,Casual
3214470,Simulation
2402760,Adventure
2402760,Casual
2598610,Action
2598610,Indie
2598610,RPG
2598610,Strategy
1738100,Casual
1543330,Indie
3862650,Indie
3862650,Strategy
3862650,Free To Play
3685180,Adventure
3685180,Casual
3600280,Indie
3600280,Simulation
3600280,Strategy
3385380,Action
3385380,Adventure
3214440,Casual
3214440,Early Access
2402740,Action
2402740,Adventure
2402740,Casual
